Style,Color,Collection,Optical,SKU,Male,Female,Active
Begley,Greystone,RX Sun Launch Collection,Sun,Begley-150,0,0,0
Begley,Midnight Blue,RX Sun Launch Collection,Sun,Begley-350,0,0,0
Begley,Whiskey Tortoise,RX Sun Launch Collection,Sun,Begley-200,0,0,0
Crosby,Burgundy Fade,RX Sun Launch Collection,Sun,Crosby-313,0,0,0
Crosby,Greystone,RX Sun Launch Collection,Sun,Crosby-150,0,0,0
Crosby,Revolver Black,RX Sun Launch Collection,Sun,Crosby-100,0,0,0
Felton,Old Fashioned Fade,RX Sun Launch Collection,Sun,Felton-273,1,1,1
Felton,Revolver Black,RX Sun Launch Collection,Sun,Felton-100,1,1,1
Felton,Striped Maple,RX Sun Launch Collection,Sun,Felton-232,1,1,1
Griffin,Blonde Tortoise,First Sun Collection,Sun,Griffin-305,1,1,1
Griffin,Greystone,RX Sun Launch Collection,Sun,Griffin-150,1,1,1
Griffin,Revolver Black,RX Sun Launch Collection,Sun,Griffin-100,1,1,1
Griffin,Revolver Black Matte,First Sun Collection,Sun,Griffin-101,1,1,1
Larkin,Lunar Fade,RX Sun Launch Collection,Sun,Larkin-143,0,0,0
Larkin,Oakwood Brown,RX Sun Launch Collection,Sun,Larkin-260,0,0,0
Larkin,Revolver Black,RX Sun Launch Collection,Sun,Larkin-100,0,0,0
Monroe,Revolver Black Matte,RX Sun Launch Collection,Sun,Monroe-101,0,0,0
Monroe,Striped Maple,RX Sun Launch Collection,Sun,Monroe-232,0,0,0
Owen,Revolver Black Matte,RX Sun Launch Collection,Sun,Owen-101,0,0,0
Owen,Striped Chestnut,RX Sun Launch Collection,Sun,Owen-230,0,0,0
Preston,Hazelwood,RX Sun Launch Collection,Sun,Preston-211,0,0,0
Preston,Sandalwood Matte,RX Sun Launch Collection,Sun,Preston-210,1,1,1
Preston,Whiskey Tortoise,RX Sun Launch Collection,Sun,Preston-200,1,1,1
Sinclair,Burgundy Fade,RX Sun Launch Collection,Sun,Sinclair-313,0,0,0
Sinclair,Greystone,RX Sun Launch Collection,Sun,Sinclair-150,0,0,0
Sinclair,Midnight Blue,RX Sun Launch Collection,Sun,Sinclair-350,0,0,0
Tenley,Burgundy Fade,First Sun Collection,Sun,Tenley-313,0,1,1
Tenley,Midnight Blue,First Sun Collection,Sun,Tenley-350,0,1,1
Thatcher,Greystone,First Sun Collection,Sun,Thatcher-150,1,1,1
Thatcher,Revolver Black,RX Sun Launch Collection,Sun,Thatcher-100,0,0,0
